å§ñÅâÒêîÅF3,
0,63.6501
0.1,76.4288
0.2,39.6429
0.3,23.9908
0.4,17.9661
0.5,13.9354
0.6,13.4017
0.7,14.3671
0.8,12.3451
0.9,9.9523
1,9.1453
1.1,8.4372
1.2,8.5916
1.3,8.0689
1.4,7.4664
1.5,7.2290
1.6,6.7032
1.7,7.0485
1.8,6.5679
1.9,6.0125
2,6.6779
2.1,6.2825
2.2,6.1489
2.3,6.6916
2.4,5.8492
2.5,6.3755
2.6,6.0409
2.7,6.0843
2.8,6.3374
2.9,6.0605
3,6.3284
3.1,5.8478
3.2,5.6374
3.3,5.9546
3.4,5.6781
3.5,5.2848
3.6,5.1532
3.7,4.9148
3.8,5.3721
3.9,5.1120
4,4.9985
4.1,4.8201
4.2,4.8712
4.3,5.1255
4.4,5.1544
4.5,4.8585
4.6,4.9459
4.7,4.8084
4.8,4.2605
4.9,4.7543
5,4.7055
5.1,4.7890
5.2,4.7280
5.3,4.4768
5.4,4.2695
5.5,4.2894
5.6,4.4647
5.7,4.1913
5.8,3.7850
5.9,3.6411
6,3.6147
6.1,3.4267
6.2,3.4470
6.3,3.7017
6.4,3.5368
6.5,3.7687
6.6,3.9088
6.7,4.0839
6.8,3.4584
6.9,3.1227
7,3.0942
7.1,3.0603
7.2,2.6592
7.3,2.7594
7.4,2.9216
7.5,2.7789
7.6,2.7279
7.7,2.6189
7.8,2.7022
7.9,2.4932
8,2.3442
8.1,2.1650
8.2,1.8909
8.3,1.6783
8.4,1.5936
8.5,1.5593
8.6,1.5517
8.7,1.5441
8.8,1.5367
8.9,1.5294
9,1.5222
9.1,1.5152
9.2,1.5082
9.3,1.5013
9.4,1.4946
9.5,1.4880
9.6,1.4814
9.7,1.4742
9.8,1.4678
9.9,1.4615
10,1.4554
10.1,1.4493
10.2,1.4432
10.3,1.4373
10.4,1.4315
10.5,1.4257
10.6,1.4200
10.7,1.4144
10.8,1.4089
10.9,1.4035
11,1.3981
11.1,1.3927
11.2,1.3875
11.3,1.3823
11.4,1.3772
11.5,1.3721
11.6,1.3671
11.7,1.3622
11.8,1.3573
11.9,1.3525
12,1.3477
12.1,1.3430
12.2,1.3384
12.3,1.3337
12.4,1.3292
12.5,1.3247
12.6,1.3203
12.7,1.3159
12.8,1.3115
12.9,1.3072
13,1.3030
13.1,1.2988
13.2,1.2946
13.3,1.2905
13.4,1.2865
13.5,1.2824
13.6,1.2784
13.7,1.2745
13.8,1.2706
13.9,1.2667
14,1.2629
14.1,1.2591
14.2,1.2554
14.3,1.2517
14.4,1.2480
14.5,1.2444
14.6,1.2408
14.7,1.2372
14.8,1.2337
14.9,1.2302
15,1.2267
15.1,1.2233
15.2,1.2199
15.3,1.2165
15.4,1.2132
15.5,1.2099
15.6,1.2066
15.7,1.2034
15.8,1.2002
15.9,1.1970
16,1.1938
16.1,1.1907
16.2,1.1876
16.3,1.1845
16.4,1.1814
16.5,1.1784
16.6,1.1754
16.7,1.1724
16.8,1.1695
16.9,1.1666
17,1.1637
17.1,1.1608
17.2,1.1579
17.3,1.1551
17.4,1.1523
17.5,1.1495
17.6,1.1468
17.7,1.1441
17.8,1.1413
17.9,1.1387
18,1.1360
18.1,1.1333
18.2,1.1307
18.3,1.1281
18.4,1.1255
18.5,1.1229
18.6,1.1204
18.7,1.1179
18.8,1.1154
18.9,1.1129
19,1.1104
19.1,1.1079
19.2,1.1055
19.3,1.1031
19.4,1.1007
19.5,1.0983
19.6,1.0959
19.7,1.0936
19.8,1.0913
19.9,1.0889
20,1.0867
